Format Version,1.22,Take Name,hw3_v2_A_007,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 00:51:41 +0800,Total Frames in Take,813,Total Exported Frames,813,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,,,,,,,,-0.071736,-0.440617,0.261692,-0.855703,-1.262192,0.176285,0.898710
1,0.002778,,,,,,,,-0.071918,-0.440560,0.261716,-0.855710,-1.262160,0.176337,0.898743
2,0.005556,,,,,,,,-0.071993,-0.440570,0.261632,-0.855724,-1.262158,0.176298,0.898767
3,0.008333,,,,,,,,-0.071818,-0.440604,0.261624,-0.855724,-1.262197,0.176220,0.898730
4,0.011111,,,,,,,,-0.071883,-0.440584,0.261715,-0.855701,-1.262161,0.176331,0.898742
5,0.013889,,,,,,,,-0.071826,-0.440617,0.261625,-0.855716,-1.262191,0.176234,0.898727
6,0.016667,,,,,,,,-0.071963,-0.440563,0.261620,-0.855734,-1.262159,0.176296,0.898768
