Format Version,1.22,Take Name,hw3_v2_B_001,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,29 Dec 1969 01:11:04 +0800,Total Frames in Take,654,Total Exported Frames,654,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02
,,"4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","4F4B8F34BD9011ED3CE6FFAD6BA8968C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C","D435570C19E11ED3CE6FFAD6BA8978C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,,,,,,,,-0.140185,-0.161410,0.211077,-0.953804,-0.886676,0.178273,0.697313
1,0.002778,,,,,,,,-0.140179,-0.161409,0.211110,-0.953797,-0.886675,0.178278,0.697307
2,0.005556,,,,,,,,-0.140175,-0.161424,0.211096,-0.953799,-0.886681,0.178276,0.697307
3,0.008333,,,,,,,,-0.140167,-0.161413,0.211108,-0.953799,-0.886678,0.178281,0.697307
4,0.011111,,,,,,,,-0.140184,-0.161413,0.211112,-0.953796,-0.886682,0.178273,0.697312
5,0.013889,,,,,,,,-0.140180,-0.161398,0.211087,-0.953804,-0.886675,0.178280,0.697308
6,0.016667,,,,,,,,-0.140294,-0.161141,0.210591,-0.953941,-0.886584,0.178534,0.697438
